COGs,Trait
1463,Human
1458,Human
1458,Human
1461,Human
1468,Human
1466,Human
1465,Human
1461,Human
1466,Human
1466,Human
1461,Human
1465,Human
1459,Human
1461,Human
1470,Human
1472,Human
1462,Human
1471,Human
1470,Human
1474,Human
1470,Human
1474,Human
1463,Human
1462,Human
1461,Human
1457,Human
1459,Human
1457,Human
1459,Human
1462,Human
1465,Human
1463,Human
1453,Human
1457,Human
1464,Human
1471,Human
1471,Human
1467,Human
1457,Human
1454,Human
1459,Human
1454,Human
1452,Human
1449,Human
1478,Human
1461,Human
1460,Human
1461,Human
1461,Human
1434,Human
1473,Human
1471,Human
1473,Human
1472,Human
1477,Human
1472,Human
1470,Human
1479,Human
1469,Human
1475,Human
1472,Human
1471,Human
1471,Human
1472,Human
1470,Human
1472,Human
1472,Human
1469,Human
1479,Human
1466,Human
1470,Human
1469,Human
1454,Human
1440,Human
1458,Human
1450,Human
1462,Human
1459,Human
1454,Human
1458,Human
1463,Human
1460,Human
1457,Human
1461,Human
1458,Human
1457,Human
1479,Human
1427,Human
1487,Human
1461,Human
1481,Human
1460,Human
1473,Human
1456,Human
1454,Human
1454,Human
1461,Human
1458,Human
1451,Human
1477,Human
1452,Human
1463,Human
1459,Human
1460,Human
1468,Human
1461,Human
1452,Human
1439,Human
1472,Human
1424,Human
1407,Human
1449,Human
1475,Human
1470,Human
1456,Human
1458,Human
1470,Human
1459,Human
1463,Human
1452,Human
1465,Human
1469,Human
1467,Human
1457,Human
1467,Human
1461,Human
1466,Human
1372,Human
1408,Human
1422,Human
1424,Human
1467,Human
1453,Human
1461,Human
1463,Human
1460,Human
1465,Human
1411,Human
1429,Human
1460,Human
1459,Human
1317,Human
1309,Human
1315,Human
1314,Human
1317,Human
1320,Human
1318,Human
1311,Human
1334,Human
1318,Human
1388,Human
1379,Human
1291,Human
1294,Human
1459,Human
1403,Human
1371,Human
1367,Human
1356,Human
1340,Human
1367,Human
1356,Human
1368,Human
1389,Human
1459,Human
1373,Human
1377,Human
1369,Human
1354,Human
1393,Human
1375,Human
1352,Human
1365,Human
1372,Human
1362,Human
1361,Human
1362,Human
1366,Human
1458,Human
1368,Human
1323,Human
1423,Human
1321,Human
1324,Human
1302,Human
1363,Human
1304,Human
1380,Human
1375,Human
1319,Human
1457,Human
1458,Human
1471,Human
1470,Human
1458,Human
1459,Human
1457,Human
1458,Human
1459,Human
1437,Human
1440,Human
1330,Human
1451,Human
1460,Human
1424,Human
1413,Human
1321,Human
1366,Human
1323,Human
1401,Human
1388,Human
1310,Human
1316,Human
1286,Human
1313,Human
1264,Human
1342,Human
1456,Plants
1420,Plants
1462,Plants
1461,Plants
1457,Plants
1459,Plants
1458,Plants
1470,Plants
1463,Plants
1452,Plants
1429,Plants
1461,Plants
1460,Plants
1460,Plants
1459,Plants
1444,Plants
1462,Plants
1462,Plants
1461,Plants
1516,Plants
1465,Plants
1373,Plants
1383,Plants
1371,Plants
1356,Plants
1361,Plants
1368,Plants
1374,Plants
1372,Plants
1374,Plants
1380,Plants
1356,Plants
1370,Plants
1367,Plants
1372,Plants
1378,Plants
1360,Plants
1360,Plants
1373,Plants
1379,Plants
1373,Plants
1379,Plants
1366,Plants
1369,Plants
1373,Plants
1374,Plants
1371,Plants
1368,Plants
1385,Plants
1377,Plants
1377,Plants
1369,Plants
1376,Plants
1335,Plants
1409,Plants
1319,Plants
1348,Plants
1377,Plants
1380,Plants
1381,Plants
1391,Plants
1378,Plants
1428,Plants
1431,Plants
1389,Plants
1401,Plants
1289,Plants
1377,Plants
1388,Plants
1397,Plants
1391,Plants
1352,Plants
1474,Plants
1365,Plants
1355,Plants
1365,Plants
1364,Plants
1418,Plants
1404,Plants
1414,Plants
1424,Plants
1431,Plants
1447,Plants
1413,Plants
1420,Plants
1426,Plants
1425,Plants
1417,Plants
1420,Plants
1430,Plants
1419,Plants
1420,Plants
1416,Plants
1436,Plants
1432,Plants
1445,Plants
1432,Plants
1445,Plants
1456,Plants
1442,Plants
1424,Plants
1429,Plants
1432,Plants
1428,Plants
1429,Plants
