COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG3693,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG4988,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3637,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG3268,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
COG:COG0699,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG1850,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0
COG:COG2901,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1
COG:COG0222,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1
COG:COG4570,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
COG:COG1486,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG1348,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
COG:COG1403,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG3266,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1
COG:COG1216,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1
COG:COG2979,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1
COG:COG1351,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
COG:COG0287,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1
COG:COG4122,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
COG:COG2963,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
COG:COG2222,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG0674,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
COG:COG4605,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG4606,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG5496,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
COG:COG2980,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
COG:COG2914,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1
